Player,Tm,FantPos,G,Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Y/A,Rush TD,Tgt,Rec,Rec Yds,Y/R,Rec TD,Fmb,FL,Tot TD,2PM,2PP,FantPt,PPR,VBD,PosRk,OvRk,Opponent_15,Location_15,PointsAllowed_15,GameCompetitiveness_15,Opponent_16,Location_16,PointsAllowed_16,GameCompetitiveness_16,Opponent_17,Location_17,PointsAllowed_17,GameCompetitiveness_17,Partition,Proj Std Pts,Proj_Std_15,Proj_Std_16,Proj_Std_17,Proj PPR Pts,Proj_PPR_15,Proj_PPR_16,Proj_PPR_17
JuJu Smith-Schuster,KAN,WR,6,0,0,0,0,0,0,0,0,0,2,1.5,24.5,16.33,0.17,0,0,0.17,0,0,3.5,4.95,,101,,CLE,0,25.7,1.0333333,HOU,1,23.9,0.9416667,PIT,0,18.5,0.675,Train,3.5207934426,5.7540275956,5.8148609289,4.9981942623,5.0000542062,7.0483807637,7.1092140971,6.2925474304
Tylan Wallace,BAL,WR,10,0,0,0,0,0,0,0,0,0,0.5,0.5,14.6,29.2,0.1,0,0,0.1,0,0,2.1,2.56,,102,,NYG,0,20.4,0.7302632,PIT,1,18.5,0.5328947,HOU,0,23.9,0.7434211,Train,2.105936675,3.9557209064,3.9959840643,4.3070366959,2.6084973957,4.395461537,4.4357246949,4.7467773265
Jamaal Williams,NOR,RB,8,0,0,0,0,0,4,15.5,3.88,0.13,0.75,0.5,2.63,5.25,0,0,0,0.13,0,0,2.63,3.06,,69,,WAS,1,20.2,0.9285714,GNB,0,17.7,0.894958,LVR,1,20.3,1.197479,Train,2.618865617,4.6543645578,4.1510032132,4.6912553141,3.1033994894,5.0783316961,4.5749703516,5.1152224524
Jaylen Wright,MIA,RB,8,0,0,0,0,0,5.88,26.4,4.49,0,0.13,0,0,0,0,0,0,0,0,0,2.63,2.64,,68,,HOU,0,15.2,1.2486188,SFO,1,18.3,1.2265193,CLE,0,16.2,1.3701657,Train,2.6799917901,3.9898546948,4.5476447501,4.102009391,2.6394046226,3.9543409232,4.5121309785,4.0664956194
D'Onta Foreman,CLE,RB,8,0,0,0,0,0,5.75,19.4,3.37,0,0.63,0.63,5.75,9.2,0,0.13,0,0,0,0,2.5,3.14,,70,,KAN,1,10,1.1790123,CIN,0,16.3,1.6604938,MIA,1,20.4,1.3641975,Test,2.6449672362,3.6822475663,4.1103957144,4.7407660848,3.2476638079,4.2096070665,4.6377552146,5.268125585
KhaDarel Hodge,ATL,WR,10,0,0,0,0,0,0,0,0,0,0.4,0.3,7.6,25.33,0.1,0,0,0.1,0,0,2,2.26,,107,,LVR,0,17.2,1.2837838,NYG,1,20.4,1,WAS,0,20.6,0.9954955,Train,1.3997148096,3.0731288368,3.6147504584,3.3843000079,1.7045032851,3.3398187528,3.8814403745,3.650989924
Van Jefferson,PIT,WR,9,0,0,0,0,0,0,0,0,0,2.56,1.56,15.4,9.93,0.11,0,0,0.11,0,0,2.22,3.77,,105,,PHI,0,17.4,0.7682403,BAL,0,30.9,1.055794,KAN,1,18.8,0.8197425,Train,2.2416231601,3.7782442994,5.1569996642,4.173394514,3.781375419,5.125527526,6.5042828908,5.5206777405
Dawson Knox,BUF,TE,10,0,0,0,0,0,0,0,0,0,1.6,1,14.2,14.2,0.1,0,0,0.1,0,0,2,3.02,,41,,DET,0,3.9,0.6082474,NWE,1,6.4,0.7731959,NYJ,1,5,0.7560137,Train,2.0668298482,2.2593008595,2.7757957048,2.6340774918,3.0488955534,3.1186083515,3.6351031968,3.4933849838
Marcus Mariota,WAS,QB,2,9.5,13,101.5,1,0,6.5,18,2.77,0,0,0,0,0,0,0,0,0,0,0,10,9.85,,43,,NOR,0,13.9,0.8428571,PHI,1,13.1,0.6392857,ATL,1,18.2,0.8892857,Train,9.8820087581,10.121043378,10.270686235,10.805686235,9.8457286026,10.089298242,10.238941099,10.773941099
Jalen McMillan,TAM,WR,6,0,0,0,0,0,0.33,4.67,14,0,3.67,1.67,18.2,10.9,0.17,0,0,0.17,0,0,3.33,4.95,,106,,LAC,0,18.2,0.5197133,DAL,0,21.7,1.0322581,CAR,1,19,1.1111111,Train,3.3228273315,4.7794452412,5.1806997215,5.1685850262,5.0048176397,6.2511867609,6.6524412412,6.6403265458
Ja'Lynn Polk,NWE,WR,9,0,0,0,0,0,0.11,0,0,0,3.11,1.22,8.89,7.27,0.22,0,0,0.22,0,0,2.22,3.44,,104,,ARI,0,19.9,1.3333333,BUF,0,17,1.1818182,LAC,1,18.2,0.8787879,Train,2.2520475177,4.0938749113,3.7887233962,4.1284203659,3.4625718204,5.1530836761,4.847932161,5.1876291307
Nick Vannett,TEN,TE,9,0,0,0,0,0,0,0,0,0,1.22,1.11,8.67,7.8,0.22,0,0,0.22,0,0,2.22,3.31,,42,,CIN,1,9.6,1.5823529,IND,0,9,1.3352941,JAX,0,9.1,1.6882353,Train,2.2140653259,3.3055424543,2.970836572,3.0161306896,3.3118661845,4.2661182055,3.9314123232,3.9767064408
Jordan Whittington,LAR,WR,7,0,0,0,0,0,0,0,0,0,3.29,2.57,28.7,11.17,0,0,0,0,0,0,2.86,5.44,,103,,SFO,0,19.5,1.0422535,NYJ,0,16.4,1.0328638,ARI,1,19.9,1.0328638,Test,2.8406790502,4.5398195211,4.2288805539,4.8288805539,5.4442904707,6.817979514,6.5070405468,7.1070405468
AJ Barner,SEA,TE,9,0,0,0,0,0,0,0,0,0,1.89,1.56,14.7,9.43,0.11,0,0,0.11,0,0,2.11,3.69,,43,,GNB,1,7.6,0.926087,MIN,1,6,0.7391304,CHI,0,6.7,0.8130435,Train,2.1636980169,2.9958444605,2.8171488083,2.6445401126,3.7026500244,4.342427467,4.1637318148,3.9911231192
Tyler Boyd,TEN,WR,9,0,0,0,0,0,0.11,0.33,3,0,3.33,2.33,20.4,8.76,0,0,0,0,0,0,2.11,4.41,,109,,CIN,1,20.9,1.5823529,IND,0,21.8,1.3352941,JAX,0,23.4,1.6882353,Train,2.1026972595,4.3380953962,4.1533895138,4.3486836315,4.4098932357,6.3568918754,6.172185993,6.3674801107
Lil'Jordan Humphrey,DEN,WR,10,0,0,0,0,0,0,0,0,0,3.5,2.3,21.1,9.17,0,0.1,0.1,0,0,0,1.9,4.21,,108,,IND,1,21.8,1.0607477,LAC,0,18.2,0.6775701,CIN,0,20.9,1.2570093,Validation,2.0466151779,4.326863047,3.67854529,4.0064892153,4.3102031419,6.3075025155,5.6591847585,5.9871286837
D'Ernest Johnson,JAX,RB,10,0,0,0,0,0,2.8,11.4,4.07,0,1.3,0.8,7.7,9.63,0,0,0,0,0,0,1.9,2.71,,71,,NYJ,1,18.3,1.1640212,LVR,0,20.3,1.5079365,TEN,1,19.1,1.3915344,Train,1.9439607662,3.8973677869,3.8817593212,4.0001191096,2.7236632881,4.5796074935,4.5639990278,4.6823588162
Charlie Kolar,BAL,TE,10,0,0,0,0,0,0.1,0.2,2,0,1,0.8,12.5,15.63,0.1,0,0,0.1,0,0,1.9,2.67,,44,,NYG,0,3.9,0.7302632,PIT,1,6,0.5328947,HOU,0,4.7,0.7434211,Validation,1.9173765952,2.1407308366,2.5809939945,2.2220466261,2.6951859367,2.8213140104,3.2615771683,2.9026297999
